Workload,Mechanism,Metric,Value
2mm,CPU,Latency (ms),17326252.1
2mm,CPU,Energy (mJ),3034329100.0
2mm,GPU,Latency (ms),213504
2mm,GPU,Energy (mJ),24818176
3mm,CPU,Latency (ms),26062048.7
3mm,CPU,Energy (mJ),4935828100.0
3mm,GPU,Latency (ms),279552
3mm,GPU,Energy (mJ),35386368
backprop,CPU,Latency (ms),43105.9
backprop,CPU,Energy (mJ),3895100.0
covariance,CPU,Latency (ms),8603501.5
covariance,CPU,Energy (mJ),1384258600.0
covariance,GPU,Latency (ms),4740608
covariance,GPU,Energy (mJ),389370880
doitgen,CPU,Latency (ms),129195.4
doitgen,CPU,Energy (mJ),22613800.0
doitgen,GPU,Latency (ms),1999
doitgen,GPU,Energy (mJ),465217
fdtd-apml,CPU,Latency (ms),862.2
fdtd-apml,CPU,Energy (mJ),129500.0
gemm,CPU,Latency (ms),8480320.7
gemm,CPU,Energy (mJ),1603212400.0
gemm,GPU,Latency (ms),118272
gemm,GPU,Energy (mJ),10322432
gramschmidt,CPU,Latency (ms),18312297.2
gramschmidt,CPU,Energy (mJ),2955444100.0
gramschmidt,GPU,Latency (ms),6280192
gramschmidt,GPU,Energy (mJ),436862464
heartwall,CPU,Latency (ms),987.8
heartwall,CPU,Energy (mJ),348100.0
heartwall,GPU,Latency (ms),286
heartwall,GPU,Energy (mJ),12597
kmeans,CPU,Latency (ms),100.7
kmeans,CPU,Energy (mJ),26000.0
kmeans,GPU,Latency (ms),81
kmeans,GPU,Energy (mJ),2985
pca,CPU,Latency (ms),56187.0
pca,CPU,Energy (mJ),7922900.0
x264,CPU,Latency (ms),15678.0
x264,CPU,Energy (mJ),1392400.0
